frame,green_ratio,sharpness,sharpness_norm,combined
frame_000010.jpg,0.5796,1115.6,1.0000,0.7478
frame_002560.jpg,0.6987,899.2,0.8060,0.7416
frame_000020.jpg,0.5810,1089.7,0.9767,0.7393
frame_000000.jpg,0.5791,1045.4,0.9371,0.7223
frame_000030.jpg,0.5698,1028.3,0.9218,0.7106
frame_002540.jpg,0.7019,796.6,0.7140,0.7068
frame_002530.jpg,0.7048,774.1,0.6939,0.7004
frame_002490.jpg,0.7132,742.8,0.6659,0.6942
frame_002500.jpg,0.7109,742.8,0.6659,0.6929
frame_002550.jpg,0.7003,758.9,0.6802,0.6922
frame_000040.jpg,0.5654,973.1,0.8723,0.6881
frame_002520.jpg,0.7085,731.1,0.6553,0.6872
frame_002510.jpg,0.7130,715.7,0.6415,0.6844
frame_002480.jpg,0.7129,708.9,0.6354,0.6819
frame_002570.jpg,0.6921,740.0,0.6633,0.6806
frame_001650.jpg,0.9442,254.8,0.2284,0.6579
frame_001640.jpg,0.9461,237.1,0.2125,0.6526
frame_001630.jpg,0.9485,230.4,0.2065,0.6517
frame_002470.jpg,0.7120,615.6,0.5518,0.6479
frame_000150.jpg,0.4792,997.0,0.8937,0.6450
frame_001660.jpg,0.9569,194.7,0.1746,0.6440
frame_000190.jpg,0.4878,971.2,0.8706,0.6409
frame_000220.jpg,0.4869,971.3,0.8706,0.6404
frame_000170.jpg,0.4871,968.4,0.8680,0.6395
frame_000230.jpg,0.4785,968.1,0.8678,0.6342
frame_000200.jpg,0.4877,947.7,0.8495,0.6324
frame_001670.jpg,0.9217,217.0,0.1945,0.6308
frame_003330.jpg,0.8031,410.3,0.3678,0.6290
frame_001620.jpg,0.9510,161.4,0.1447,0.6285
frame_000180.jpg,0.4891,928.2,0.8320,0.6263
frame_003270.jpg,0.7207,537.2,0.4816,0.6251
frame_000210.jpg,0.4867,928.1,0.8320,0.6248
frame_003350.jpg,0.7883,421.8,0.3781,0.6242
frame_001690.jpg,0.8682,287.7,0.2578,0.6240
frame_000140.jpg,0.4680,956.9,0.8577,0.6239
frame_003340.jpg,0.7910,414.9,0.3719,0.6234
frame_001610.jpg,0.9345,174.1,0.1561,0.6231
frame_002580.jpg,0.6635,626.5,0.5616,0.6227
frame_002780.jpg,0.8758,268.4,0.2406,0.6218
frame_000160.jpg,0.4852,912.1,0.8176,0.6182
frame_001600.jpg,0.9035,210.9,0.1890,0.6177
frame_002930.jpg,0.9627,110.1,0.0987,0.6171
frame_003290.jpg,0.7094,532.5,0.4774,0.6166
frame_001680.jpg,0.8975,217.3,0.1948,0.6164
frame_003220.jpg,0.8928,225.1,0.2018,0.6164
frame_001700.jpg,0.8339,323.3,0.2898,0.6162
frame_001970.jpg,0.7430,474.4,0.4252,0.6159
frame_003240.jpg,0.8079,363.0,0.3253,0.6149
frame_002460.jpg,0.6993,543.7,0.4873,0.6145
frame_003040.jpg,0.9455,127.7,0.1144,0.6131
frame_003210.jpg,0.8901,217.8,0.1952,0.6122
frame_000240.jpg,0.4635,930.5,0.8341,0.6118
frame_003250.jpg,0.7745,409.1,0.3667,0.6114
frame_002110.jpg,0.8872,219.9,0.1971,0.6112
frame_003230.jpg,0.8341,307.6,0.2757,0.6108
frame_000130.jpg,0.4550,940.2,0.8428,0.6101
frame_003280.jpg,0.7079,511.9,0.4588,0.6082
frame_003030.jpg,0.9372,126.3,0.1132,0.6076
frame_003260.jpg,0.7401,456.0,0.4087,0.6075
frame_003300.jpg,0.7638,416.0,0.3729,0.6074
frame_002220.jpg,0.8926,198.8,0.1782,0.6068
frame_002210.jpg,0.8115,332.9,0.2984,0.6062
frame_002200.jpg,0.7551,420.8,0.3772,0.6039
frame_001760.jpg,0.7553,419.3,0.3759,0.6035
frame_000250.jpg,0.4441,939.5,0.8422,0.6033
frame_003050.jpg,0.9628,70.1,0.0628,0.6028
frame_002700.jpg,0.6849,531.1,0.4761,0.6014
frame_002790.jpg,0.8927,182.6,0.1637,0.6011
frame_002120.jpg,0.9220,131.4,0.1178,0.6003
frame_001590.jpg,0.8557,240.7,0.2158,0.5997
frame_003320.jpg,0.8281,286.1,0.2564,0.5994
frame_001710.jpg,0.8083,318.7,0.2856,0.5992
frame_002430.jpg,0.6645,553.4,0.4960,0.5971
frame_002450.jpg,0.6873,512.5,0.4594,0.5962
frame_002730.jpg,0.7439,417.3,0.3741,0.5960
frame_002990.jpg,0.9806,21.1,0.0189,0.5959
frame_002720.jpg,0.7409,421.0,0.3773,0.5955
frame_001950.jpg,0.7458,411.8,0.3691,0.5951
frame_002590.jpg,0.6263,606.5,0.5437,0.5933
frame_000120.jpg,0.4341,927.6,0.8315,0.5931
frame_001900.jpg,0.5743,691.6,0.6200,0.5926
frame_001810.jpg,0.7138,457.8,0.4104,0.5925
frame_003380.jpg,0.8115,293.8,0.2634,0.5922
frame_000600.jpg,0.8538,221.0,0.1981,0.5916
frame_002980.jpg,0.9563,49.5,0.0443,0.5915
frame_001960.jpg,0.7527,390.2,0.3498,0.5915
frame_003360.jpg,0.8162,283.4,0.2540,0.5913
frame_002940.jpg,0.8780,179.7,0.1611,0.5912
frame_002130.jpg,0.9186,110.2,0.0988,0.5907
frame_001890.jpg,0.5698,693.9,0.6220,0.5907
frame_003020.jpg,0.9327,85.1,0.0763,0.5901
frame_000710.jpg,0.7984,308.9,0.2768,0.5898
frame_002710.jpg,0.7126,452.3,0.4055,0.5898
frame_002760.jpg,0.7211,436.7,0.3914,0.5892
frame_002440.jpg,0.6742,514.1,0.4609,0.5889
frame_001750.jpg,0.7494,388.2,0.3479,0.5888
frame_001800.jpg,0.7078,450.6,0.4039,0.5863
frame_002920.jpg,0.9294,77.3,0.0693,0.5853
frame_001830.jpg,0.7071,447.6,0.4013,0.5848
frame_002880.jpg,0.8710,172.2,0.1543,0.5844
frame_002600.jpg,0.6090,609.6,0.5465,0.5840
frame_002740.jpg,0.7332,401.1,0.3595,0.5838
frame_002770.jpg,0.7582,358.6,0.3214,0.5835
frame_003310.jpg,0.8246,246.6,0.2210,0.5832
frame_002190.jpg,0.7488,373.3,0.3346,0.5831
frame_003010.jpg,0.9422,49.3,0.0442,0.5830
frame_001980.jpg,0.7281,405.0,0.3630,0.5821
frame_001770.jpg,0.7312,399.7,0.3582,0.5820
frame_001720.jpg,0.7643,343.7,0.3081,0.5818
frame_002150.jpg,0.9428,44.9,0.0402,0.5818
frame_003370.jpg,0.8211,246.9,0.2213,0.5812
frame_002100.jpg,0.7927,294.2,0.2637,0.5811
frame_002750.jpg,0.7261,405.2,0.3632,0.5810
frame_001740.jpg,0.7193,415.0,0.3720,0.5804
frame_003070.jpg,0.8724,156.4,0.1402,0.5795
frame_001730.jpg,0.7210,409.4,0.3670,0.5794
frame_002420.jpg,0.6446,535.9,0.4804,0.5789
frame_003200.jpg,0.7869,295.5,0.2649,0.5781
frame_002180.jpg,0.7478,356.1,0.3192,0.5764
frame_000570.jpg,0.7050,419.9,0.3764,0.5735
frame_003000.jpg,0.9312,41.0,0.0368,0.5734
frame_002800.jpg,0.8920,105.5,0.0946,0.5731
frame_002870.jpg,0.8794,124.6,0.1117,0.5723
frame_002890.jpg,0.8415,186.0,0.1668,0.5716
frame_001780.jpg,0.7155,396.2,0.3552,0.5714
frame_001820.jpg,0.7181,391.2,0.3506,0.5711
frame_003080.jpg,0.8250,210.2,0.1884,0.5704
frame_002020.jpg,0.7120,397.3,0.3561,0.5696
frame_002860.jpg,0.8916,95.6,0.0856,0.5692
frame_002690.jpg,0.6707,462.7,0.4148,0.5683
frame_000260.jpg,0.4147,890.9,0.7986,0.5682
frame_002610.jpg,0.6007,579.2,0.5191,0.5681
frame_001910.jpg,0.6479,493.6,0.4425,0.5657
frame_000630.jpg,0.8445,163.1,0.1462,0.5652
frame_001790.jpg,0.7082,385.1,0.3452,0.5630
frame_000700.jpg,0.7309,345.6,0.3098,0.5625
frame_002030.jpg,0.7530,308.8,0.2768,0.5625
frame_001920.jpg,0.7283,348.7,0.3126,0.5620
frame_000430.jpg,0.5814,592.4,0.5310,0.5612
frame_002090.jpg,0.7397,327.3,0.2934,0.5612
frame_002010.jpg,0.6928,392.6,0.3520,0.5564
frame_001940.jpg,0.7341,323.2,0.2897,0.5564
frame_002970.jpg,0.8868,66.7,0.0598,0.5560
frame_000110.jpg,0.4057,869.1,0.7790,0.5550
frame_001530.jpg,0.6103,524.4,0.4701,0.5542
frame_003060.jpg,0.8684,88.1,0.0790,0.5526
frame_001580.jpg,0.7330,314.6,0.2820,0.5526
frame_001840.jpg,0.6786,405.3,0.3633,0.5524
frame_000610.jpg,0.8557,106.7,0.0956,0.5516
frame_002060.jpg,0.7424,295.2,0.2646,0.5513
frame_000560.jpg,0.7006,365.0,0.3272,0.5512
frame_002900.jpg,0.8195,158.9,0.1424,0.5487
frame_003390.jpg,0.7089,343.7,0.3081,0.5485
frame_002040.jpg,0.7638,249.4,0.2235,0.5477
frame_002080.jpg,0.7441,274.6,0.2462,0.5449
frame_001880.jpg,0.5727,561.4,0.5032,0.5449
frame_001300.jpg,0.4443,771.0,0.6911,0.5430
frame_000510.jpg,0.7596,243.1,0.2180,0.5429
frame_001930.jpg,0.7175,313.0,0.2806,0.5427
frame_000500.jpg,0.7598,238.9,0.2141,0.5415
frame_002840.jpg,0.8527,82.3,0.0737,0.5411
frame_000590.jpg,0.7743,211.8,0.1899,0.5405
frame_002070.jpg,0.7522,248.6,0.2229,0.5405
frame_000640.jpg,0.7657,225.7,0.2023,0.5403
frame_001540.jpg,0.6302,450.2,0.4035,0.5395
frame_002170.jpg,0.7507,248.4,0.2226,0.5395
frame_003800.jpg,0.5351,605.8,0.5430,0.5383
frame_002680.jpg,0.6458,419.6,0.3762,0.5380
frame_002000.jpg,0.6796,362.0,0.3245,0.5375
frame_001280.jpg,0.3595,895.5,0.8027,0.5368
frame_000690.jpg,0.6928,335.4,0.3006,0.5359
frame_003790.jpg,0.5075,645.1,0.5783,0.5358
frame_003780.jpg,0.5100,639.3,0.5731,0.5352
frame_001990.jpg,0.6898,336.5,0.3017,0.5345
frame_000580.jpg,0.7244,278.2,0.2494,0.5344
frame_002620.jpg,0.6010,483.5,0.4334,0.5339
frame_002850.jpg,0.8270,99.8,0.0894,0.5320
frame_000650.jpg,0.7237,272.5,0.2443,0.5319
frame_001520.jpg,0.5924,492.1,0.4411,0.5319
frame_002640.jpg,0.6006,468.0,0.4195,0.5282
frame_000480.jpg,0.6489,384.3,0.3445,0.5272
frame_000050.jpg,0.4656,690.6,0.6191,0.5270
frame_002910.jpg,0.8079,117.4,0.1052,0.5268
frame_002670.jpg,0.6042,453.8,0.4068,0.5253
frame_001870.jpg,0.5851,485.3,0.4350,0.5250
frame_000820.jpg,0.5887,479.0,0.4294,0.5249
frame_000620.jpg,0.8406,57.0,0.0511,0.5248
frame_000490.jpg,0.6831,319.5,0.2864,0.5244
frame_000460.jpg,0.6108,438.4,0.3929,0.5237
